"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.254397090E-1	9.720458984E-1	-7.661445439E-2	9.421483040E0	9.471804774E0
5.274388420E-1	9.720458984E-1	-8.858546615E-2	9.426271439E0	9.476672087E0
5.294379750E-1	9.624691010E-1	-9.576806426E-2	9.433453560E0	9.482909066E0
5.314371080E-1	9.504981041E-1	-1.029506698E-1	9.443030357E0	9.491304853E0
5.334362080E-1	9.361328483E-1	-1.125274822E-1	9.452607155E0	9.499515207E0
5.354361740E-1	9.217676520E-1	-1.244984865E-1	9.457395554E0	9.503025104E0
5.374361400E-1	9.074024558E-1	-1.460463107E-1	9.447818756E0	9.492417394E0
5.394361060E-1	8.954314590E-1	-1.675941199E-1	9.435848236E0	9.479721368E0
5.414360720E-1	8.834604025E-1	-1.915361285E-1	9.419088364E0	9.462368307E0
5.434360380E-1	8.762778044E-1	-2.274491638E-1	9.402329445E0	9.445813618E0
5.454360710E-1	8.667010069E-1	-2.633621991E-1	9.387964249E0	9.431564187E0
5.474369040E-1	8.499416113E-1	-2.992752194E-1	9.375992775E0	9.419193539E0
5.494377700E-1	8.307880163E-1	-3.351882398E-1	9.380781174E0	9.423460899E0
5.514386700E-1	8.164227605E-1	-3.663128614E-1	9.395146370E0	9.437664253E0
5.534387030E-1	8.020575643E-1	-4.094084799E-1	9.421483040E0	9.464420442E0
5.554387360E-1	7.829039693E-1	-4.501099288E-1	9.452607155E0	9.495647403E0
5.574387690E-1	7.733271718E-1	-4.740519226E-1	9.486125946E0	9.529393769E0
5.594388020E-1	7.733271718E-1	-4.740519226E-1	9.534010887E0	9.577062375E0
5.614388350E-1	7.565677166E-1	-4.764461517E-1	9.577106476E0	9.618750651E0
5.634388680E-1	7.350199223E-1	-4.788403511E-1	9.617807388E0	9.657730651E0
5.654388680E-1	6.991068721E-1	-4.788403511E-1	9.668086052E0	9.705149479E0
5.674379680E-1	6.584054828E-1	-4.788403511E-1	9.727940559E0	9.761947213E0
5.694370680E-1	6.177040339E-1	-4.836287498E-1	9.783007622E0	9.814412523E0
5.714365010E-1	5.793967843E-1	-4.955997467E-1	9.842862129E0	9.872347980E0
5.734356010E-1	5.434837937E-1	-5.027823448E-1	9.905111313E0	9.932743571E0
5.754346670E-1	5.147533417E-1	-5.075707436E-1	9.960178375E0	9.986378339E0
5.774346330E-1	4.932055473E-1	-5.147533417E-1	1.001045704E1	1.003580953E1
5.794345990E-1	4.740519226E-1	-5.219359994E-1	1.005834103E1	1.008302368E1
5.814345990E-1	4.596867263E-1	-5.291185975E-1	1.009904194E1	1.012333574E1
5.834346320E-1	4.453215301E-1	-5.339069963E-1	1.013974380E1	1.016355117E1
5.854346650E-1	4.333505034E-1	-5.363011956E-1	1.018762779E1	1.021093393E1
5.874355650E-1	4.213795066E-1	-5.339069963E-1	1.024030018E1	1.026286340E1
5.894364650E-1	4.046200812E-1	-5.291185975E-1	1.030973148E1	1.033122680E1
5.914373650E-1	4.094084799E-1	-5.386953950E-1	1.043662453E1	1.045853429E1
5.934382650E-1	4.309563041E-1	-5.650315881E-1	1.059943008E1	1.062322466E1
5.954382980E-1	4.333505034E-1	-6.009446383E-1	1.076223564E1	1.078770796E1
5.974383310E-1	3.854664862E-1	-6.296750307E-1	1.087476349E1	1.089979614E1
5.994383310E-1	3.184288144E-1	-6.512228847E-1	1.095855999E1	1.098250997E1
6.014383310E-1	2.082955539E-1	-6.655880809E-1	1.101362705E1	1.103568645E1
6.034383310E-1	7.182604820E-2	-6.679822803E-1	1.103996372E1	1.106038690E1
6.054383310E-1	-7.661445439E-2	-6.679822803E-1	1.104235744E1	1.106280833E1
6.074374640E-1	-2.106897533E-1	-6.679822803E-1	1.103517532E1	1.105738147E1
6.094374640E-1	-3.447650373E-1	-6.679822803E-1	1.101123333E1	1.103686200E1
6.114374300E-1	-4.620809257E-1	-6.679822803E-1	1.098729134E1	1.101727235E1
6.134373960E-1	-5.650315881E-1	-6.655880809E-1	1.096334839E1	1.099805783E1
6.154371960E-1	-6.512228847E-1	-6.607996821E-1	1.093940639E1	1.097867750E1
6.174372620E-1	-7.206547260E-1	-6.560112834E-1	1.091546440E1	1.095888029E1
6.194377280E-1	-7.685387731E-1	-6.512228847E-1	1.088673401E1	1.093323925E1
6.214376940E-1	-8.020575643E-1	-6.416460276E-1	1.085321522E1	1.090171026E1
6.234376600E-1	-8.236053586E-1	-6.344634295E-1	1.081969643E1	1.086953083E1
6.254376260E-1	-8.307880163E-1	-6.200982332E-1	1.077660084E1	1.082635008E1
6.274392920E-1	-8.212111592E-1	-6.081272364E-1	1.073829365E1	1.078680476E1
6.294401580E-1	-8.068459630E-1	-5.961562395E-1	1.070238113E1	1.074929601E1
6.314410580E-1	-7.852981687E-1	-5.841852427E-1	1.067604446E1	1.072081578E1
6.334419580E-1	-7.517793179E-1	-5.674257874E-1	1.066167927E1	1.070320274E1
6.354428910E-1	-7.086837292E-1	-5.554547906E-1	1.065928555E1	1.069724876E1
6.374429240E-1	-6.679822803E-1	-5.458779931E-1	1.066167927E1	1.069652223E1
6.394429570E-1	-6.224924326E-1	-5.339069963E-1	1.066646767E1	1.069794775E1
6.414429900E-1	-5.746083856E-1	-5.315127969E-1	1.067365074E1	1.070231287E1
6.434429900E-1	-5.291185975E-1	-5.291185975E-1	1.067604446E1	1.070223614E1
6.454429560E-1	-4.884171486E-1	-5.291185975E-1	1.067843914E1	1.070269033E1
6.474420560E-1	-4.501099288E-1	-5.315127969E-1	1.067843914E1	1.070112925E1
6.494411560E-1	-4.118026793E-1	-5.386953950E-1	1.067365074E1	1.069516687E1
6.514411220E-1	-3.734954596E-1	-5.434837937E-1	1.066646767E1	1.068683330E1
6.534410880E-1	-3.327940404E-1	-5.506663918E-1	1.064731407E1	1.066673719E1
6.554410540E-1	-2.944868207E-1	-5.554547906E-1	1.062816048E1	1.064673883E1
6.574410200E-1	-2.585737705E-1	-5.482721925E-1	1.059943008E1	1.061675002E1
6.594410200E-1	-2.226607651E-1	-5.291185975E-1	1.055633450E1	1.057193181E1
6.614410530E-1	-1.891419291E-1	-5.027823448E-1	1.051323891E1	1.052695384E1
6.634410860E-1	-1.628057212E-1	-4.141969085E-1	1.046296024E1	1.047242101E1
6.654411190E-1	-1.604115069E-1	-3.040636182E-1	1.039352894E1	1.039921297E1
6.674420190E-1	-1.675941199E-1	-2.178723514E-1	1.032170296E1	1.032536237E1
6.694420520E-1	-1.771709323E-1	-1.532289088E-1	1.023072338E1	1.023340459E1
6.714420850E-1	-1.771709323E-1	-1.053448766E-1	1.012777233E1	1.012986967E1
6.734421180E-1	-1.699883193E-1	-6.703764945E-2	1.003200436E1	1.003366840E1
